topico,taxa_encontrado,sim_media,pct_not_found
COVENANTS_FINANCEIROS,0.7125,0.6909,0.2875
AMORTIZACAO,0.8975,0.7099,0.1025
REGIME_DE_COLOCACAO,0.9625,0.7313,0.0375
TAXA_DE_JUROS_REMUNERATORIOS,0.9025,0.7426,0.0975
PRAZO_DE_VENCIMENTO,0.9292,0.79,0.0708
DESTINACAO_DOS_RECURSOS,0.9533,0.8318,0.0467
PUBLICO_ALVO,0.9558,0.8735,0.0442
NUMERO_DA_EMISSAO,0.9742,0.8837,0.0258
VALOR_TOTAL_DA_EMISSAO,0.9517,0.9013,0.0483
DATA_DE_EMISSAO,0.9533,0.9547,0.0467
EMISSOR,0.9925,0.9574,0.0075
CNPJ_DO_EMISSOR,0.9633,0.9638,0.0367
